Adventure,Base Rarity,Class,Weapon,Element,Availability,Gender,Affiliation,Release
Xuegang,3,Cleric,Lance,Onyx,Permanent,Male,Haiping,21
,2,,,Emerald,Permanent,,,22
,3,,,Amber,Permanent,,,22
,2,,,Topaz,Permanent,,,23
Hinata,3,Cleric,Wand,Ruby,Permanent,Female,Haiping,23
,2,,,Onyx,Permanent,,,24
,3,,,Sapphire,Permanent,,,24
Hibiki,3,Mage,Gauntlets,Emerald,Twilight Garden,Female,None,25
Minami,3,Mage,Wand,Amber,Twilight Garden,Female,None,25
,4,,,,Rebirth,,,26
,4,,,,Rebirth,,,26
,4,,,,Rebirth,,,26
,2,,,Amber,Permanent,,,27
,3,,,Emerald,Permanent,,,27
,2,,,Ruby,Permanent,,,28
,3,,,Topaz,Permanent,,,28
,2,,,Sapphire,Permanent,,,29
Shika,3,Knight,Axe,Onyx,Permanent,Male,Haiping,29
Berzerk,3,Warrior,Blade,Ruby,Imperial,Male,None,30
,2,,,Emerald,Permanent,,,31
,3,,,Amber,Permanent,,,31
,2,,,Topaz,Permanent,,,32
,3,,,Ruby,Permanent,,,32
,2,,,Onyx,Permanent,,,33
,3,,,Sapphire,Permanent,,,33
,3,,,Emerald,Permanent,,,34
Hori,3,Rogue,Blade,Emerald,Twilight Garden,Female,None,35
Miya,3,Knight,Dagger,Emerald,Twilight Garden,Male,None,35
,2,,,Amber,Permanent,,,36
,3,,,Emerald,Permanent,,,36
,2,,,Ruby,Permanent,,,37
,3,,,Topaz,Permanent,,,37
,2,,,Sapphire,Permanent,,,38
,3,,,Onyx,Permanent,,,38
,2,,,Emerald,Permanent,,,39
,3,,,Amber,Permanent,,,39
Seraph,3,Knight,Sword,Topaz,Imperial,Female,None,40
,3,,,Ruby,Permanent,,,41
,3,,,Sapphire,Permanent,,,42
,3,,,Emerald,Permanent,,,43
,3,,,Topaz,Permanent,,,44
Erandel,3,Cleric,Bow,Sapphire,Twilight Garden,Female,None,45
Von Jahn,3,Cleric,Axe,Onyx,Twilight Garden,Male,None,45
,3,,,Onyx,Permanent,,,46
,3,,,Amber,Permanent,,,47
,3,,,Ruby,Permanent,,,48
,3,,,Sapphire,Permanent,,,49
Selene,3,Rogue,Axe,Onyx,Imperial,Female,None,50
,3,,,Emerald,Permanent,,,51
,4,,,,Rebirth,,,52
,4,,,,Rebirth,,,52
,4,,,,Rebirth,,,52
,3,,,Topaz,Permanent,,,53
,3,,,Onyx,Permanent,,,54
,3,,,,Twilight Garden,,None,55
,3,,,,Twilight Garden,,None,55
,3,,,Amber,Permanent,,,56
,3,,,Ruby,Permanent,,,57
,3,,,Sapphire,Permanent,,,58
,3,,,Emerald,Permanent,,,59
Rubick,3,Mage,Gauntlets,Amber,Imperial,Male,None,60
,,,,,,,,
,,,,,Seasonal,,,Lunar
,,,,,Seasonal,,,Valentine
,,,,,Seasonal,,,Wedding
,,,,,Seasonal,,,Summer
,,,,,Seasonal,,,School
,,,,,Seasonal,,,Halloween
,,,,,Seasonal,,,Christmas
,,,,,Collab,,,
